language_prediction,language_prediction_en,language_prediction_mixed,language_prediction_other,language_prediction_punc,language_prediction_sw,letterCase,nextEnScore,nextMixedScore,nextOtherScore,nextSwScore,prevEnScore,prevMixedScore,prevOtherScore,prevSwScore,swRegex,text
sw,1.22E-04,2.95E-06,7.26E-06,1.18E-06,0.999866357,lower,0.999731187,6.80E-06,1.06E-04,1.56E-04,0.019533282,3.91E-05,3.64E-04,0.980063402,1,#utafanya#
en,0.966679832,3.88E-05,1.11E-04,5.24E-06,0.033164953,lower,0.058707881,6.20E-05,3.08E-05,0.941199346,5.43E-05,5.99E-06,7.15E-06,0.999932533,0,#then#
sw,0.109402071,3.62E-05,3.71E-05,3.74E-07,0.890524251,lower,0.017109315,1.82E-05,0.003999872,0.978872578,0.999731187,6.80E-06,1.06E-04,1.56E-04,1,#ushauriwe#
sw,2.06E-04,3.56E-05,0.002609017,2.03E-05,0.997129559,lower,0.039508433,1.67E-05,9.09E-05,0.960383886,0.058707881,6.20E-05,3.08E-05,0.941199346,1,#na#
sw,0.025822622,1.24E-05,9.13E-05,1.10E-05,0.97406271,lower,0.901252979,3.93E-05,3.18E-05,0.098675947,0.017109315,1.82E-05,0.003999872,0.978872578,1,#sio#
en,0.807533222,3.76E-05,2.69E-05,6.20E-05,0.192340284,lower,0.901252979,3.93E-05,3.18E-05,0.098675947,0.039508433,1.67E-05,9.09E-05,0.960383886,0,#bla#
en,0.87928188,4.33E-05,2.36E-05,5.97E-05,0.12059145,lower,0.00788314,2.27E-06,6.42E-04,0.991472694,0.901252979,3.93E-05,3.18E-05,0.098675947,0,#bla#
sw,0.096669173,7.78E-07,4.23E-04,2.72E-05,0.90288023,lower,0.778456433,2.06E-04,5.49E-04,0.220788033,0.901252979,3.93E-05,3.18E-05,0.098675947,1,#tu#
punc,8.90E-07,6.64E-05,2.81E-05,0.999265497,6.39E-04,numsym,0.266479601,0.090624828,2.31E-04,0.642665062,0.00788314,2.27E-06,6.42E-04,0.991472694,0,#.#
en,0.687528333,0.030167963,3.85E-04,1.00E-04,0.281818413,,0.991662066,7.75E-05,7.62E-04,0.007498738,0,0,0,0,,Post:11133942
en,0.996176882,3.28E-05,8.08E-04,2.17E-04,0.002765907,initcap,0.997734744,3.47E-04,1.09E-04,0.001809352,0,0,0,0,0,#keep#
en,0.999123406,1.60E-04,5.29E-05,9.65E-07,6.63E-04,lower,0.723336039,2.02E-04,5.26E-04,0.275936454,0.991662066,7.75E-05,7.62E-04,0.007498738,0,#dreaming#
en,0.951427886,1.25E-05,5.75E-05,0.038796149,0.00970597,numsym,0.997362971,3.49E-05,1.12E-04,0.002490415,0.997734744,3.47E-04,1.09E-04,0.001809352,0,#51%#
en,0.998266294,1.94E-05,8.87E-05,2.42E-05,0.001601399,lower,0.999514294,1.33E-05,4.77E-05,4.25E-04,0.723336039,2.02E-04,5.26E-04,0.275936454,0,#is#
en,0.999899126,5.70E-06,4.99E-05,7.35E-06,3.79E-05,lower,0.99750501,2.40E-05,8.96E-05,0.002381405,0.997362971,3.49E-05,1.12E-04,0.002490415,0,#owned#
en,0.99954411,6.70E-06,5.91E-05,1.01E-04,2.89E-04,lower,0.982783247,5.69E-05,3.76E-05,0.017122225,0.999514294,1.33E-05,4.77E-05,4.25E-04,0,#by#
en,0.993986172,1.04E-05,5.48E-05,6.78E-05,0.005880824,capital,0.996379585,1.28E-04,2.14E-04,0.003277903,0.99750501,2.40E-05,8.96E-05,0.002381405,0,#tanzanians#
en,0.99896877,5.16E-05,1.62E-04,4.31E-05,7.75E-04,lower,0.960900721,4.56E-06,1.52E-04,0.038943005,0.982783247,5.69E-05,3.76E-05,0.017122225,0,#as#
en,0.994209548,9.19E-07,1.13E-04,2.93E-05,0.005647341,lower,0.998503609,6.09E-05,3.59E-05,0.001399625,0.996379585,1.28E-04,2.14E-04,0.003277903,1,#we#
en,0.998740628,3.19E-05,3.73E-05,8.70E-06,0.001181481,lower,0.778456433,2.06E-04,5.49E-04,0.220788033,0.960900721,4.56E-06,1.52E-04,0.038943005,0,#speak#
punc,0.001919178,3.57E-05,5.36E-05,0.997822818,1.69E-04,numsym,0.275326933,2.51E-05,4.34E-04,0.724214158,0.998503609,6.09E-05,3.59E-05,0.001399625,0,#!#
sw,0.090166763,5.60E-05,4.32E-04,3.12E-05,0.909313751,initcap,1.00E-04,0.001723787,1.96E-04,0.997980176,0,0,0,0,1,#roho#
sw,8.46E-06,0.001809313,1.91E-04,2.96E-07,0.997991155,lower,0.005417983,5.19E-05,0.004176469,0.990353648,0.275326933,2.51E-05,4.34E-04,0.724214158,1,#inakuuma#
sw,2.93E-05,1.10E-04,0.003250435,3.72E-06,0.996606476,lower,0.004567272,6.51E-06,5.37E-04,0.994889108,1.00E-04,0.001723787,1.96E-04,0.997980176,1,#najua#
sw,9.40E-04,6.61E-06,4.36E-04,6.39E-06,0.998610471,lower,0.863344092,1.31E-04,2.23E-04,0.136301507,0.005417983,5.19E-05,0.004176469,0.990353648,1,#ila#
en,0.747641723,1.67E-04,1.26E-04,5.03E-06,0.252060153,lower,0.998392732,2.37E-05,1.22E-05,0.001571392,0.004567272,6.51E-06,5.37E-04,0.994889108,0,#fastjet#
en,0.987593631,3.15E-05,1.39E-05,1.75E-05,0.012343457,lower,0.248931269,2.64E-05,4.13E-05,0.75100111,0.863344092,1.31E-04,2.23E-04,0.136301507,0,#will#
en,0.823962854,5.09E-06,3.86E-05,1.09E-05,0.175982558,lower,0.998030591,2.10E-04,1.83E-05,0.001741231,0.998392732,2.37E-05,1.22E-05,0.001571392,1,#wipe#
en,0.995539214,1.98E-04,1.82E-05,3.60E-05,0.004208961,lower,0.863242226,2.89E-04,1.83E-04,0.13628577,0.248931269,2.64E-05,4.13E-05,0.75100111,0,#off#
en,0.988508856,2.92E-05,6.03E-05,0.001220862,0.010180832,allcaps,0.998535216,6.54E-05,3.32E-05,0.001366183,0.998030591,2.10E-04,1.83E-05,0.001741231,0,#kq#
en,0.999461079,2.98E-05,2.68E-05,2.60E-05,4.56E-04,lower,0.997535035,1.38E-05,4.83E-05,0.002402946,0.863242226,2.89E-04,1.83E-04,0.13628577,0,#from#
en,0.999499253,5.99E-06,5.43E-05,2.44E-05,4.16E-04,lower,0.854538887,2.69E-04,3.12E-04,0.144880502,0.998535216,6.54E-05,3.32E-05,0.001366183,0,#her#
en,0.974701825,3.17E-05,6.97E-05,1.69E-04,0.02502751,other,0.99312198,2.66E-05,1.33E-04,0.006718254,0.997535035,1.38E-05,4.83E-05,0.002402946,0,#2nd#
en,0.997387419,1.10E-05,1.47E-04,1.34E-05,0.00244083,lower,0.982147637,0.017377952,2.53E-06,4.72E-04,0.854538887,2.69E-04,3.12E-04,0.144880502,0,#runner#
en,0.995760877,0.004214485,3.02E-06,9.26E-07,2.07E-05,lower,0.995912462,2.47E-05,6.34E-05,0.003999436,0.99312198,2.66E-05,1.33E-04,0.006718254,0,#dominance#
en,0.999750118,6.68E-06,5.29E-05,2.93E-06,1.87E-04,lower,0.993507642,5.76E-05,5.61E-04,0.005873827,0.982147637,0.017377952,2.53E-06,4.72E-04,0,#behind#
en,0.994934304,1.13E-05,1.98E-04,5.82E-04,0.00427439,allcaps,0.778456433,2.06E-04,5.49E-04,0.220788033,0.995912462,2.47E-05,6.34E-05,0.003999436,0,#et#
punc,0.02195222,1.20E-05,5.15E-05,0.977969668,1.46E-05,numsym,0.997240741,2.10E-04,6.83E-05,0.002481209,0.993507642,5.76E-05,5.61E-04,0.005873827,0,#!#
en,0.998183984,1.74E-04,8.95E-05,6.98E-05,0.001482402,initcap,0.998535216,6.54E-05,3.32E-05,0.001366183,0,0,0,0,0,#and#
en,0.999662209,2.47E-05,2.61E-05,2.62E-05,2.61E-04,lower,0.999249663,8.60E-06,3.00E-05,7.12E-04,0.997240741,2.10E-04,6.83E-05,0.002481209,0,#from#
en,0.999822737,3.04E-06,2.00E-05,8.19E-06,1.46E-04,lower,0.990066428,3.80E-05,2.31E-04,0.009664167,0.998535216,6.54E-05,3.32E-05,0.001366183,0,#this#
en,0.999495822,9.56E-06,1.74E-04,2.30E-05,2.98E-04,lower,0.989608737,1.28E-06,0.001307672,0.009082311,0.999249663,8.60E-06,3.00E-05,7.12E-04,0,#news#
en,0.998673083,2.94E-07,6.44E-04,4.55E-06,6.78E-04,lower,0.998018819,4.26E-06,7.09E-05,0.001905994,0.990066428,3.80E-05,2.31E-04,0.009664167,1,#here#
en,0.999529254,1.67E-06,5.72E-05,7.30E-06,4.05E-04,lower,0.998392732,2.37E-05,1.22E-05,0.001571392,0.989608737,1.28E-06,0.001307672,0.009082311,0,#they#
en,0.999382215,8.62E-06,1.32E-05,1.88E-05,5.77E-04,lower,0.993590931,7.07E-05,3.29E-05,0.00630542,0.998018819,4.26E-06,7.09E-05,0.001905994,0,#will#
en,0.999499475,1.55E-05,2.37E-05,6.75E-05,3.94E-04,lower,0.999811001,1.38E-05,5.75E-05,1.18E-04,0.998392732,2.37E-05,1.22E-05,0.001571392,0,#put#
en,0.999906477,4.61E-06,4.76E-05,1.61E-05,2.52E-05,lower,0.989785,4.41E-06,0.001439722,0.00877087,0.993590931,7.07E-05,3.29E-05,0.00630542,0,#only#
en,0.996948769,1.18E-06,8.85E-04,9.19E-06,0.002156,lower,0.872173928,8.95E-05,3.82E-05,0.127698436,0.999811001,1.38E-05,5.75E-05,1.18E-04,1,#one#
en,0.964306958,3.19E-05,3.73E-05,8.16E-06,0.035615647,lower,0.995536279,9.41E-05,9.78E-05,0.004271793,0.989785,4.41E-06,0.001439722,0.00877087,0,#aircraft#
en,0.997623919,6.42E-05,5.47E-05,2.52E-05,0.00223199,lower,0.832217307,3.37E-06,0.002393368,0.165385954,0.872173928,8.95E-05,3.82E-05,0.127698436,0,#in#
en,0.984142995,3.24E-07,0.001811717,5.74E-05,0.013987575,capital,0.994361398,9.19E-06,4.68E-05,0.005582618,0.995536279,9.41E-05,9.78E-05,0.004271793,1,#kenya#
en,0.997738623,4.07E-06,5.22E-05,8.46E-06,0.002196672,lower,0.890215972,2.06E-04,5.46E-04,0.109031682,0.832217307,3.37E-06,0.002393368,0.165385954,0,#while#
en,0.89826713,1.25E-05,5.74E-05,0.098100471,0.003562511,numsym,0.992828158,2.41E-05,0.002828718,0.004319009,0.994361398,9.19E-06,4.68E-05,0.005582618,0,#7#
en,0.997582201,5.96E-06,0.001803764,4.38E-06,6.04E-04,lower,0.998392732,2.37E-05,1.22E-05,0.001571392,0.890215972,2.06E-04,5.46E-04,0.109031682,1,#more#
en,0.999380336,8.71E-06,1.36E-05,1.88E-05,5.79E-04,lower,0.992230666,3.30E-06,3.38E-04,0.007427777,0.992828158,2.41E-05,0.002828718,0.004319009,0,#will#
en,0.997711383,6.49E-07,2.38E-04,3.47E-05,0.002015079,lower,0.995536279,9.41E-05,9.78E-05,0.004271793,0.998392732,2.37E-05,1.22E-05,0.001571392,1,#be#
en,0.993560777,1.06E-04,5.36E-05,2.44E-05,0.006255036,lower,0.382705249,7.18E-06,3.43E-04,0.616944382,0.992230666,3.30E-06,3.38E-04,0.007427777,0,#in#
sw,0.445544092,1.24E-06,2.85E-04,2.26E-05,0.554146701,capital,0.778456433,2.06E-04,5.49E-04,0.220788033,0.995536279,9.41E-05,9.78E-05,0.004271793,1,#tanzania#
punc,0.001729187,2.84E-05,5.88E-05,0.997997067,1.87E-04,numsym,0.999332102,5.25E-04,3.50E-05,1.08E-04,0.382705249,7.18E-06,3.43E-04,0.616944382,0,#!#
en,0.999562449,3.14E-04,6.86E-05,5.60E-06,4.92E-05,initcap,0.998381812,3.70E-05,4.31E-05,0.00153803,0,0,0,0,0,#headquarters#
en,0.998932514,1.53E-05,3.52E-05,4.29E-05,9.74E-04,lower,0.906239986,2.42E-04,7.84E-04,0.092734322,0.999332102,5.25E-04,3.50E-05,1.08E-04,0,#of#
en,0.995070255,5.21E-05,3.09E-04,6.96E-05,0.004498922,capital,0.998991149,4.44E-05,1.85E-04,7.79E-04,0.998381812,3.70E-05,4.31E-05,0.00153803,0,#fastjet#
en,0.998510784,9.16E-06,1.17E-04,0.001251074,1.12E-04,capital,0.998991793,2.00E-05,5.81E-04,4.07E-04,0.906239986,2.42E-04,7.84E-04,0.092734322,0,#pls#
en,0.999468909,4.33E-06,4.61E-04,8.65E-06,5.71E-05,lower,0.999471231,1.04E-04,5.01E-05,3.74E-04,0.998991149,4.44E-05,1.85E-04,7.79E-04,1,#are#
en,0.999842922,3.35E-05,4.60E-05,1.25E-05,6.51E-05,lower,0.998195146,2.47E-06,2.57E-04,0.001545838,0.998991793,2.00E-05,5.81E-04,4.07E-04,0,#known#
en,0.999317821,5.52E-07,1.83E-04,2.20E-05,4.76E-04,lower,0.992230666,3.30E-06,3.38E-04,0.007427777,0.999471231,1.04E-04,5.01E-05,3.74E-04,1,#to#
en,0.997712997,6.50E-07,2.39E-04,3.47E-05,0.002012982,lower,0.995536279,9.41E-05,9.78E-05,0.004271793,0.998195146,2.47E-06,2.57E-04,0.001545838,1,#be#
en,0.998444466,5.52E-05,5.27E-05,2.53E-05,0.001422333,lower,0.822376351,8.01E-05,1.61E-04,0.177382258,0.992230666,3.30E-06,3.38E-04,0.007427777,0,#in#
en,0.993004415,1.56E-05,1.22E-04,1.66E-04,0.006691646,capital,0.993639126,3.49E-06,4.08E-04,0.005949289,0.995536279,9.41E-05,9.78E-05,0.004271793,0,#london#
en,0.999335637,9.17E-07,1.90E-04,1.82E-05,4.55E-04,lower,0.99832233,7.79E-05,1.24E-04,0.001476254,0.822376351,8.01E-05,1.61E-04,0.177382258,1,#so#
en,0.999521976,2.89E-05,8.47E-05,3.08E-05,3.34E-04,lower,0.999520095,2.68E-06,4.49E-05,4.32E-04,0.993639126,3.49E-06,4.08E-04,0.005949289,0,#if#
en,0.999845372,6.12E-07,3.73E-05,8.44E-06,1.08E-04,lower,0.99840319,1.82E-04,2.06E-04,0.001208078,0.99832233,7.79E-05,1.24E-04,0.001476254,1,#you#
en,0.999687354,4.36E-05,9.91E-05,1.04E-05,1.60E-04,lower,0.998381812,3.70E-05,4.31E-05,0.00153803,0.999520095,2.68E-06,4.49E-05,4.32E-04,0,#dream#
en,0.999189483,1.34E-05,3.49E-05,4.32E-05,7.19E-04,lower,0.998733616,4.64E-05,2.97E-05,0.001190295,0.99840319,1.82E-04,2.06E-04,0.001208078,0,#of#
en,0.999624352,1.76E-05,2.04E-05,3.99E-06,3.34E-04,lower,0.998809855,3.17E-06,5.16E-05,0.001135382,0.998381812,3.70E-05,4.31E-05,0.00153803,0,#having#
en,0.99978378,1.15E-06,4.47E-05,7.78E-06,1.63E-04,lower,0.999731187,6.80E-06,1.06E-04,1.56E-04,0.998733616,4.64E-05,2.97E-05,0.001190295,0,#them#
en,0.999881712,2.38E-06,8.75E-05,5.80E-06,2.27E-05,lower,0.992456634,8.20E-06,4.65E-04,0.007070322,0.998809855,3.17E-06,5.16E-05,0.001135382,0,#then#
en,0.999199668,2.28E-06,3.71E-04,3.61E-05,3.91E-04,lower,0.998809855,3.17E-06,5.16E-05,0.001135382,0.999731187,6.80E-06,1.06E-04,1.56E-04,0,#let#
en,0.999778817,1.17E-06,4.49E-05,7.78E-06,1.67E-04,lower,0.997794187,3.99E-04,7.73E-06,0.001798845,0.992456634,8.20E-06,4.65E-04,0.007070322,0,#them#
en,0.999785592,1.08E-04,7.74E-06,2.19E-05,7.65E-05,lower,0.998195146,2.47E-06,2.57E-04,0.001545838,0.998809855,3.17E-06,5.16E-05,0.001135382,0,#come#
en,0.998763828,7.84E-07,1.90E-04,2.17E-05,0.001023789,lower,0.760234105,2.06E-04,0.004028468,0.235531547,0.997794187,3.99E-04,7.73E-06,0.001798845,1,#to#
en,0.979157991,2.43E-05,0.002599628,9.92E-06,0.018208168,capital,0.987099552,1.35E-04,7.60E-06,0.012758016,0.998195146,2.47E-06,2.57E-04,0.001545838,1,#nairobi#
en,0.997319712,5.07E-05,7.20E-06,1.05E-05,0.002611878,lower,0.99968771,2.01E-05,4.18E-05,2.50E-04,0.760234105,2.06E-04,0.004028468,0.235531547,0,#since#
en,0.99989531,7.93E-06,2.34E-05,7.46E-06,6.59E-05,lower,0.99875514,6.87E-04,3.09E-06,5.55E-04,0.987099552,1.35E-04,7.60E-06,0.012758016,0,#that#
en,0.9997579,2.09E-04,3.19E-06,1.13E-05,1.85E-05,lower,0.997362971,3.49E-05,1.12E-04,0.002490415,0.99968771,2.01E-05,4.18E-05,2.50E-04,0,#office#
en,0.999363476,1.34E-05,8.41E-05,2.46E-05,5.15E-04,lower,0.996401795,0.003567386,9.97E-06,2.08E-05,0.99875514,6.87E-04,3.09E-06,5.55E-04,0,#is#
en,0.998757398,0.001228276,7.75E-06,7.86E-07,5.79E-06,lower,0.998195146,2.47E-06,2.57E-04,0.001545838,0.997362971,3.49E-05,1.12E-04,0.002490415,0,#insignificant#
en,0.999304725,5.61E-07,1.85E-04,2.20E-05,4.88E-04,lower,0.985992515,2.88E-05,3.51E-04,0.013627969,0.996401795,0.003567386,9.97E-06,2.08E-05,1,#to#
en,0.997308497,5.10E-06,2.02E-04,2.28E-05,0.00246199,lower,0.996379585,1.28E-04,2.14E-04,0.003277903,0.998195146,2.47E-06,2.57E-04,0.001545838,1,#me#
en,0.999077555,4.85E-05,1.62E-04,4.33E-05,6.69E-04,lower,0.999929891,7.13E-06,2.66E-05,3.64E-05,0.985992515,2.88E-05,3.51E-04,0.013627969,0,#as#
en,0.999920283,2.86E-06,2.22E-05,1.70E-05,3.76E-05,lower,0.970517122,9.88E-05,0.002525996,0.026858051,0.996379585,1.28E-04,2.14E-04,0.003277903,0,#the#
en,0.996548856,1.38E-05,0.001500768,7.16E-06,0.001929421,lower,0.998381812,3.70E-05,4.31E-05,0.00153803,0.999929891,7.13E-06,2.66E-05,3.64E-05,1,#mode#
en,0.999117379,1.39E-05,3.58E-05,4.32E-05,7.90E-04,lower,0.999557403,1.53E-04,1.03E-04,1.87E-04,0.970517122,9.88E-05,0.002525996,0.026858051,0,#of#
en,0.999840087,5.68E-05,8.98E-05,9.32E-07,1.25E-05,lower,0.998916613,4.62E-05,4.40E-05,9.93E-04,0.998381812,3.70E-05,4.31E-05,0.00153803,0,#operation#
en,0.999665531,2.05E-05,3.26E-05,3.52E-05,2.46E-04,lower,0.863344092,1.31E-04,2.23E-04,0.136301507,0.999557403,1.53E-04,1.03E-04,1.87E-04,0,#for#
en,0.994673454,4.07E-05,9.95E-05,5.04E-06,0.005181339,lower,0.997362971,3.49E-05,1.12E-04,0.002490415,0.998916613,4.62E-05,4.40E-05,9.93E-04,0,#fastjet#
en,0.998970858,1.61E-05,8.63E-05,2.44E-05,9.02E-04,lower,0.998195146,2.47E-06,2.57E-04,0.001545838,0.863344092,1.31E-04,2.23E-04,0.136301507,0,#is#
en,0.999324648,5.49E-07,1.84E-04,2.21E-05,4.69E-04,lower,0.998857511,3.84E-04,2.88E-04,4.70E-04,0.997362971,3.49E-05,1.12E-04,0.002490415,1,#to#
en,0.999538489,1.03E-04,3.15E-04,1.47E-05,2.88E-05,lower,0.993448524,5.65E-06,4.39E-04,0.006107129,0.998195146,2.47E-06,2.57E-04,0.001545838,0,#open#
en,0.997618146,1.34E-06,3.32E-04,4.09E-05,0.002007099,lower,0.983558188,4.61E-05,1.13E-05,0.016384402,0.998857511,3.84E-04,2.88E-04,4.70E-04,1,#a#
en,0.997476868,1.95E-05,9.52E-06,9.57E-06,0.002484536,lower,0.960610499,3.11E-04,3.19E-06,0.039075417,0.993448524,5.65E-06,4.39E-04,0.006107129,0,#local#
en,0.990675814,9.27E-05,2.69E-06,3.15E-06,0.009225636,lower,0.998916613,4.62E-05,4.40E-05,9.93E-04,0.983558188,4.61E-05,1.13E-05,0.016384402,0,#company#
en,0.999718729,1.82E-05,3.27E-05,3.55E-05,1.95E-04,lower,0.980434097,7.21E-05,1.01E-04,0.019393054,0.960610499,3.11E-04,3.19E-06,0.039075417,0,#for#
en,0.995946094,2.84E-05,8.28E-05,1.52E-05,0.003927556,lower,0.978975882,1.50E-05,5.66E-06,0.021003478,0.998916613,4.62E-05,4.40E-05,9.93E-04,0,#each#
en,0.999513808,4.83E-06,7.57E-06,4.08E-06,4.70E-04,lower,0.995536279,9.41E-05,9.78E-05,0.004271793,0.980434097,7.21E-05,1.01E-04,0.019393054,0,#country#
en,0.99868857,5.05E-05,5.26E-05,2.54E-05,0.001182922,lower,0.894030731,7.67E-05,1.16E-04,0.105776641,0.978975882,1.50E-05,5.66E-06,0.021003478,0,#in#
en,0.988261568,2.12E-05,1.06E-04,9.79E-05,0.011513286,capital,0.994361398,9.19E-06,4.68E-05,0.005582618,0.995536279,9.41E-05,9.78E-05,0.004271793,0,#africa#
en,0.998299546,3.65E-06,5.07E-05,8.50E-06,0.001637638,lower,0.906239986,2.42E-04,7.84E-04,0.092734322,0.894030731,7.67E-05,1.16E-04,0.105776641,0,#while#
en,0.994972833,5.25E-05,3.09E-04,6.95E-05,0.004595677,capital,0.997573285,5.32E-05,2.02E-04,0.002171978,0.994361398,9.19E-06,4.68E-05,0.005582618,0,#fastjet#
en,0.998308189,1.08E-05,1.24E-04,0.001266663,2.91E-04,capital,0.99879009,5.07E-05,3.95E-05,0.001119711,0.906239986,2.42E-04,7.84E-04,0.092734322,0,#plc#
en,0.999830105,1.28E-05,3.88E-05,5.34E-06,1.13E-04,lower,0.960610499,3.11E-04,3.19E-06,0.039075417,0.997573285,5.32E-05,2.02E-04,0.002171978,0,#parent#
en,0.991255332,9.07E-05,2.68E-06,3.15E-06,0.008648102,lower,0.999444184,2.48E-04,5.63E-06,3.02E-04,0.99879009,5.07E-05,3.95E-05,0.001119711,0,#company#
en,0.999885679,8.97E-05,4.36E-06,3.70E-06,1.66E-05,lower,0.99916732,2.35E-04,1.02E-04,4.96E-04,0.960610499,3.11E-04,3.19E-06,0.039075417,0,#offices#
en,0.999695449,1.01E-04,1.21E-04,3.29E-06,7.93E-05,lower,0.995536279,9.41E-05,9.78E-05,0.004271793,0.999444184,2.48E-04,5.63E-06,3.02E-04,0,#remain#
en,0.998483658,5.47E-05,5.26E-05,2.53E-05,0.001383802,lower,0.822376351,8.01E-05,1.61E-04,0.177382258,0.99916732,2.35E-04,1.02E-04,4.96E-04,0,#in#
en,0.993051601,1.56E-05,1.22E-04,1.66E-04,0.006644826,capital,0.996332695,1.03E-04,6.12E-05,0.003502721,0.995536279,9.41E-05,9.78E-05,0.004271793,0,#london#
en,0.998779328,5.29E-05,5.76E-05,1.53E-05,0.001094869,lower,0.998883541,1.84E-05,7.62E-05,0.001021863,0.822376351,8.01E-05,1.61E-04,0.177382258,0,#and#
en,0.999487412,8.03E-06,4.03E-05,2.50E-06,4.62E-04,lower,0.984518433,2.65E-05,8.29E-04,0.014626307,0.996332695,1.03E-04,6.12E-05,0.003502721,0,#that's#
en,0.999322952,7.01E-06,5.60E-04,2.07E-05,8.94E-05,lower,0.969068494,4.32E-05,4.13E-04,0.030475086,0.998883541,1.84E-05,7.62E-05,0.001021863,0,#pretty#
en,0.997529306,1.51E-05,5.18E-04,3.60E-06,0.001933545,lower,0.998916613,4.62E-05,4.40E-05,9.93E-04,0.984518433,2.65E-05,8.29E-04,0.014626307,0,#enough#
en,0.999729917,1.78E-05,3.28E-05,3.55E-05,1.84E-04,lower,0.985992515,2.88E-05,3.51E-04,0.013627969,0.969068494,4.32E-05,4.13E-04,0.030475086,0,#for#
en,0.994658088,7.04E-06,2.03E-04,2.24E-05,0.005109379,lower,0.778456433,2.06E-04,5.49E-04,0.220788033,0.998916613,4.62E-05,4.40E-05,9.93E-04,1,#me#
punc,0.001387425,4.69E-05,5.72E-05,0.998278023,2.30E-04,numsym,0.126645237,0.091722395,2.35E-04,0.781397515,0.985992515,2.88E-05,3.51E-04,0.013627969,0,#!#
sw,0.271986429,0.10548748,4.29E-04,9.49E-05,0.622002511,,0.003398306,3.88E-05,0.024478689,0.972084237,0,0,0,0,,Post:9837988
sw,9.99E-04,5.74E-05,0.014126016,2.89E-05,0.984788146,initcap,0.121103345,1.91E-05,0.003623479,0.875254035,0,0,0,0,1,#ngoja#
sw,0.002662585,3.76E-05,0.002504673,1.51E-05,0.994780055,capital,0.013887816,1.12E-05,0.007886612,0.97821435,0.003398306,3.88E-05,0.024478689,0.972084237,1,#kiranga#
sw,0.001348739,3.72E-05,0.004120547,1.41E-05,0.994479444,lower,0.018012786,5.89E-05,6.60E-05,0.981862398,0.121103345,1.91E-05,0.003623479,0.875254035,1,#aje#
